group_name,category,stall_number,company_code,company_code_id,product_code,product_name,name,packaging,qty_per_carton,inner_box,outer_carton_length_cm,outer_carton_width_cm,outer_carton_height_cm,package_length_cm,package_width_cm,package_height_cm,volume_cbm,chargeable_unit_cn,gross_weight_kg,net_weight_kg,price,price_raw,priceValue,lower_price,higher_price,price/chargeable_unit,excel_row,priceRight,marketTag,tags,image,markdown,id,sku,href
ActionFigures&RolePlay,Foam Flying Sword,7,YS1715959,1715959,819A/B,"Foam Flying Sword (battery included, dual control)","Foam Flying Sword (battery included, dual control)",Color Box,24,0,81.0,31.5,54.5,31.5,7.0,27.0,0.139,4.91,11.5,10.0,USD $109.10,109.1,109.1,109.1,,22.2,1843,24,0,"1715959, 819A/B, Color Box","ActionFigures&RolePlay/Foam Flying Sword/7/Foam Flying Sword (battery included, dual control)/image/Foam Flying Sword (battery included, dual control).jpg","ActionFigures&RolePlay/Foam Flying Sword/7/Foam Flying Sword (battery included, dual control)/Foam Flying Sword (battery included, dual control).md",1715959-819A/B-7-1843,819A/B,
ActionFigures&RolePlay,Foam Flying Sword,7,YS1715958,1715958,819A/B,"Foam Flying Sword (battery included, single control)","Foam Flying Sword (battery included, single control)",Color Box,24,0,81.0,31.5,54.5,31.5,7.0,27.0,0.139,4.91,11.5,10.0,USD $93.80,93.8,93.8,93.8,,19.092,1842,24,0,"1715958, 819A/B, Color Box","ActionFigures&RolePlay/Foam Flying Sword/7/Foam Flying Sword (battery included, single control)/image/Foam Flying Sword (battery included, single control).jpg","ActionFigures&RolePlay/Foam Flying Sword/7/Foam Flying Sword (battery included, single control)/Foam Flying Sword (battery included, single control).md",1715958-819A/B-7-1842,819A/B,
ActionFigures&RolePlay,"Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-Function Touch Screen Ordering Machine",220104,YS1718215,1718215,WD-8827B,"Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-Function Touch Screen Ordering Machine (blue)","Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-Function Touch Screen Ordering Machine (blue)",Color Box,8,0,75.0,47.5,82.0,40.0,18.0,46.0,0.292,10.31,27.0,24.5,USD $166.80,166.8,166.8,166.8,,16.176,1879,8,0,"1718215, WD-8827B, Color Box","ActionFigures&RolePlay/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F/220104/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F/image/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F.jpg","ActionFigures&RolePlay/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F/220104/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F.md",1718215-WD-8827B-220104-1879,WD-8827B,
ActionFigures&RolePlay,"Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-Function Touch Screen Ordering Machine",220104,YS1718214,1718214,WD-8827A,"Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-Function Touch Screen Ordering Machine (purple)","Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-Function Touch Screen Ordering Machine (purple)",Color Box,8,0,75.0,47.5,82.0,40.0,18.0,46.0,0.292,10.31,27.0,24.5,USD $166.80,166.8,166.8,166.8,,16.176,1878,8,0,"1718214, WD-8827A, Color Box","ActionFigures&RolePlay/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F/220104/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F/image/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F.jpg","ActionFigures&RolePlay/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F/220104/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F/Kitchen, Light And Music Water Tableware, Spray, Educational Range Hood, Multi-F.md",1718214-WD-8827A-220104-1878,WD-8827A,
ActionFigures&RolePlay,"Kitchen Lighting, Music, Water Tableware, Spray, Educational Range Hood, Multi-Function Touch Screen Ordering Machine",220104,YS1754681,1754681,WD-8827F,"Kitchen Lighting, Music, Water Tableware, Spray, Educational Range Hood, Multi-Function Touch Screen Ordering Machine","Kitchen Lighting, Music, Water Tableware, Spray, Educational Range Hood, Multi-Function Touch Screen Ordering Machine",Color Box,8,0,75.0,47.5,84.0,41.0,18.0,46.0,0.299,10.56,27.0,24.5,USD $166.80,166.8,166.8,166.8,,15.793,2658,8,0,"1754681, WD-8827F, Color Box","ActionFigures&RolePlay/Kitchen Lighting, Music, Water Tableware, Spray, Educational Range Hood, Multi-F/220104/Kitchen Lighting, Music, Water Tableware, Spray, Educational Range Hood, Multi-F/image/Kitchen Lighting, Music, Water Tableware, Spray, Educational Range Hood, Multi-F.jpg","ActionFigures&RolePlay/Kitchen Lighting, Music, Water Tableware, Spray, Educational Range Hood, Multi-F/220104/Kitchen Lighting, Music, Water Tableware, Spray, Educational Range Hood, Multi-F/Kitchen Lighting, Music, Water Tableware, Spray, Educational Range Hood, Multi-F.md",1754681-WD-8827F-220104-2658,WD-8827F,
ActionFigures&RolePlay,Playhouse Electric Egg Beater/Kettle,121108,YS1645739,1645739,868-8,Playhouse Electric Egg Beater/Kettle,Playhouse Electric Egg Beater/Kettle,Display Box,36,0,82.3,40.7,64.0,31.0,11.5,19.5,0.214,7.56,19.8,17.8,USD $47.60,47.6,47.6,47.6,,6.286,1416,36,0,"1645739, 868-8, Display Box",ActionFigures&RolePlay/Playhouse Electric Egg BeaterKettle/121108/Playhouse Electric Egg BeaterKettle/image/Playhouse Electric Egg BeaterKettle.jpg,ActionFigures&RolePlay/Playhouse Electric Egg BeaterKettle/121108/Playhouse Electric Egg BeaterKettle/Playhouse Electric Egg BeaterKettle.md,1645739-868-8-121108-1416,868-8,
ActionFigures&RolePlay,Playhouse Electric Water Dispenser/Juice Machine,121108,YS1645741,1645741,868-10,Playhouse Electric Water Dispenser/Juice Machine,Playhouse Electric Water Dispenser/Juice Machine,Display Box,36,0,67.5,45.5,71.0,23.0,12.0,21.7,0.218,7.69,17.5,15.6,USD $43.20,43.2,43.2,43.2,,5.613,1418,36,0,"1645741, 868-10, Display Box",ActionFigures&RolePlay/Playhouse Electric Water DispenserJuice Machine/121108/Playhouse Electric Water DispenserJuice Machine/image/Playhouse Electric Water DispenserJuice Machine.jpg,ActionFigures&RolePlay/Playhouse Electric Water DispenserJuice Machine/121108/Playhouse Electric Water DispenserJuice Machine/Playhouse Electric Water DispenserJuice Machine.md,1645741-868-10-121108-1418,868-10,
ActionFigures&RolePlay,Playhouse Electric Washing Machine/Vacuum Cleaner,121108,YS1645740,1645740,868-9,Playhouse Electric Washing Machine/Vacuum Cleaner,Playhouse Electric Washing Machine/Vacuum Cleaner,Display Box,36,0,84.7,46.3,63.4,30.5,12.0,22.0,0.249,8.77,23.1,21.1,USD $48.70,48.7,48.7,48.7,,5.543,1417,36,0,"1645740, 868-9, Display Box",ActionFigures&RolePlay/Playhouse Electric Washing MachineVacuum Cleaner/121108/Playhouse Electric Washing MachineVacuum Cleaner/image/Playhouse Electric Washing MachineVacuum Cleaner.jpg,ActionFigures&RolePlay/Playhouse Electric Washing MachineVacuum Cleaner/121108/Playhouse Electric Washing MachineVacuum Cleaner/Playhouse Electric Washing MachineVacuum Cleaner.md,1645740-868-9-121108-1417,868-9,
ActionFigures&RolePlay,Playhouse Electric Washing Machine,121108,YS1645732,1645732,868-1,Playhouse Electric Washing Machine,Playhouse Electric Washing Machine,Display Box,60,0,62.0,38.5,75.5,14.6,10.8,18.8,0.18,6.36,21.0,18.5,USD $24.70,24.7,24.7,24.7,,3.873,1408,60,0,"1645732, 868-1, Display Box",ActionFigures&RolePlay/Playhouse Electric Washing Machine/121108/Playhouse Electric Washing Machine/image/Playhouse Electric Washing Machine.jpg,ActionFigures&RolePlay/Playhouse Electric Washing Machine/121108/Playhouse Electric Washing Machine/Playhouse Electric Washing Machine.md,1645732-868-1-121108-1408,868-1,
ActionFigures&RolePlay,Cute Rabbit Playing House,270127-270128,YS1734824,1734824,5098-9,Cute Rabbit Playing House,Cute Rabbit Playing House,Window Box,36,2,79.0,43.0,60.0,26.0,14.5,13.5,0.204,7.19,12.2,8.2,USD $27.50,27.5,27.5,27.5,,3.82,2193,36,2,"1734824, 5098-9, Window Box",ActionFigures&RolePlay/Cute Rabbit Playing House/270127-270128/Cute Rabbit Playing House/image/Cute Rabbit Playing House.jpg,ActionFigures&RolePlay/Cute Rabbit Playing House/270127-270128/Cute Rabbit Playing House/Cute Rabbit Playing House.md,1734824-5098-9-270127-270128-2193,5098-9,
