group_name,category,stall_number,company_code,company_code_id,product_code,product_name,name,packaging,qty_per_carton,inner_box,outer_carton_length_cm,outer_carton_width_cm,outer_carton_height_cm,package_length_cm,package_width_cm,package_height_cm,volume_cbm,chargeable_unit_cn,gross_weight_kg,net_weight_kg,price,price_raw,priceValue,lower_price,higher_price,price/chargeable_unit,excel_row,priceRight,marketTag,tags,image,markdown,id,sku,href
BuildingBlocks&Construction,Potala Palace,170529-170530,YS1215515,1215515,20081,Potala Palace,Potala Palace,Color Box,6,0,54.0,42.0,62.0,60.0,40.0,10.0,0.141,4.96,18.0,16.0,USD $499.30,499.3,499.3,499.3,,100.649,536,6,0,"1215515, 20081, Color Box",BuildingBlocks&Construction/Potala Palace/170529-170530/Potala Palace/image/Potala Palace.jpg,BuildingBlocks&Construction/Potala Palace/170529-170530/Potala Palace/Potala Palace.md,1215515-20081-170529-170530-536,20081,
BuildingBlocks&Construction,Potala Palace,170529-170530,YS1215518,1215518,8832,Potala Palace(cpc),Potala Palace(cpc),Color Box,12,0,51.0,43.0,66.0,41.0,32.5,8.0,0.145,5.11,22.0,20.0,USD $163.50,163.5,163.5,163.5,,31.996,537,12,0,"1215518, 8832, Color Box",BuildingBlocks&Construction/Potala Palace/170529-170530/Potala Palace(cpc)/image/Potala Palace(cpc).jpg,BuildingBlocks&Construction/Potala Palace/170529-170530/Potala Palace(cpc)/Potala Palace(cpc).md,1215518-8832-170529-170530-537,8832,
BuildingBlocks&Construction,Magnetic Square Building Blocks-Christmas Scene 375PCS,230923,YS1749748,1749748,6105,Magnetic Square Building Blocks-Christmas Scene 375PCS (cpc),Magnetic Square Building Blocks-Christmas Scene 375PCS (cpc),Color Box,18,0,57.0,29.0,52.0,25.5,8.2,17.0,0.086,3.03,24.5,23.0,USD $228.90,228.9,228.9,228.9,,75.545,2566,18,0,"1749748, 6105, Color Box",BuildingBlocks&Construction/Magnetic Square Building Blocks-Christmas Scene 375PCS/230923/Magnetic Square Building Blocks-Christmas Scene 375PCS (cpc)/image/Magnetic Square Building Blocks-Christmas Scene 375PCS (cpc).jpg,BuildingBlocks&Construction/Magnetic Square Building Blocks-Christmas Scene 375PCS/230923/Magnetic Square Building Blocks-Christmas Scene 375PCS (cpc)/Magnetic Square Building Blocks-Christmas Scene 375PCS (cpc).md,1749748-6105-230923-2566,6105,
BuildingBlocks&Construction,Colored Window Variety Magnetic Blocks 26PCS,260304,YS1639067,1639067,FK9940,Colored Window Variety Magnetic Blocks 26PCS,Colored Window Variety Magnetic Blocks 26PCS,Iron Box,36,2,37.5,20.5,21.5,19.5,9.5,2.2,0.017,0.58,10.5,9.5,USD $32.30,32.3,32.3,32.3,,55.628,1383,36,2,"1639067, FK9940, Iron Box",BuildingBlocks&Construction/Colored Window Variety Magnetic Blocks 26PCS/260304/Colored Window Variety Magnetic Blocks 26PCS/image/Colored Window Variety Magnetic Blocks 26PCS.jpg,BuildingBlocks&Construction/Colored Window Variety Magnetic Blocks 26PCS/260304/Colored Window Variety Magnetic Blocks 26PCS/Colored Window Variety Magnetic Blocks 26PCS.md,1639067-FK9940-260304-1383,FK9940,
BuildingBlocks&Construction,Alloy Dynamic Model-V4S Red,120301,YS1748610,1748610,M92334-6（K3）,Alloy Dynamic Model-V4S Red (k3),Alloy Dynamic Model-V4S Red (k3),Color Box,12,0,75.5,38.0,61.5,37.0,24.0,14.5,0.176,6.23,16.5,14.5,USD $322.70,322.7,322.7,322.7,,51.788,2547,12,0,"1748610, M92334-6（K3）, Color Box",BuildingBlocks&Construction/Alloy Dynamic Model-V4S Red/120301/Alloy Dynamic Model-V4S Red (k3)/image/Alloy Dynamic Model-V4S Red (k3).jpg,BuildingBlocks&Construction/Alloy Dynamic Model-V4S Red/120301/Alloy Dynamic Model-V4S Red (k3)/Alloy Dynamic Model-V4S Red (k3).md,1748610-M92334-6（K3）-120301-2547,M92334-6（K3）,
BuildingBlocks&Construction,Alloy Dynamic Model-V4R Silver White,120301,YS1748611,1748611,M92334-6（K4）,Alloy Dynamic Model-V4R Silver White (k4),Alloy Dynamic Model-V4R Silver White (k4),Color Box,12,0,75.5,38.0,61.5,37.0,24.0,14.5,0.176,6.23,16.5,14.5,USD $322.70,322.7,322.7,322.7,,51.788,2548,12,0,"1748611, M92334-6（K4）, Color Box",BuildingBlocks&Construction/Alloy Dynamic Model-V4R Silver White/120301/Alloy Dynamic Model-V4R Silver White (k4)/image/Alloy Dynamic Model-V4R Silver White (k4).jpg,BuildingBlocks&Construction/Alloy Dynamic Model-V4R Silver White/120301/Alloy Dynamic Model-V4R Silver White (k4)/Alloy Dynamic Model-V4R Silver White (k4).md,1748611-M92334-6（K4）-120301-2548,M92334-6（K4）,
BuildingBlocks&Construction,Alloy Dynamic Model-V4S Black,120301,YS1748609,1748609,M92334-6（K2）,Alloy Dynamic Model-V4S Black (k2),Alloy Dynamic Model-V4S Black (k2),Color Box,12,0,75.5,38.0,61.5,37.0,24.0,14.5,0.176,6.23,16.5,14.5,USD $322.70,322.7,322.7,322.7,,51.788,2546,12,0,"1748609, M92334-6（K2）, Color Box",BuildingBlocks&Construction/Alloy Dynamic Model-V4S Black/120301/Alloy Dynamic Model-V4S Black (k2)/image/Alloy Dynamic Model-V4S Black (k2).jpg,BuildingBlocks&Construction/Alloy Dynamic Model-V4S Black/120301/Alloy Dynamic Model-V4S Black (k2)/Alloy Dynamic Model-V4S Black (k2).md,1748609-M92334-6（K2）-120301-2546,M92334-6（K2）,
BuildingBlocks&Construction,"Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magnetic Puzzle Pieces, Magnetic Pieces, Tiles",260304,YS0948291,0948291,FK6613,"Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magnetic Puzzle Pieces, Magnetic Pieces, Tiles (60pcs)","Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magnetic Puzzle Pieces, Magnetic Pieces, Tiles (60pcs)",Color Box,18,2,56.0,37.0,57.0,35.0,28.0,5.8,0.118,4.17,16.0,14.0,USD $208.90,208.9,208.9,208.9,,50.082,301,18,2,"0948291, FK6613, Color Box","BuildingBlocks&Construction/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/260304/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/image/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne.jpg","BuildingBlocks&Construction/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/260304/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne.md",0948291-FK6613-260304-301,FK6613,
BuildingBlocks&Construction,"Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magnetic Puzzle Pieces, Magnetic Pieces, Tiles",260304,YS0948292,0948292,FK6615,"Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magnetic Puzzle Pieces, Magnetic Pieces, Tiles (51pcs)","Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magnetic Puzzle Pieces, Magnetic Pieces, Tiles (51pcs)",Color Box,18,2,56.0,37.0,57.0,35.0,28.0,5.8,0.118,4.17,18.0,16.0,USD $195.40,195.4,195.4,195.4,,46.841,302,18,2,"0948292, FK6615, Color Box","BuildingBlocks&Construction/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/260304/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/image/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne.jpg","BuildingBlocks&Construction/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/260304/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne.md",0948292-FK6615-260304-302,FK6615,
BuildingBlocks&Construction,"Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magnetic Puzzle Pieces, Magnetic Pieces, Tiles",260304,YS0948289,0948289,FK687A,"Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magnetic Puzzle Pieces, Magnetic Pieces, Tiles (79pcs)","Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magnetic Puzzle Pieces, Magnetic Pieces, Tiles (79pcs)",Color Box,24,2,70.5,47.0,75.0,44.5,34.7,5.5,0.249,8.77,15.0,13.0,USD $174.00,174.0,174.0,174.0,,19.836,299,24,2,"0948289, FK687A, Color Box","BuildingBlocks&Construction/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/260304/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/image/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne.jpg","BuildingBlocks&Construction/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/260304/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne/Variety Of Magnetic Pieces, Building Blocks, Color Window Magnetic Pieces, Magne.md",0948289-FK687A-260304-299,FK687A,
