group_name,category,stall_number,company_code,company_code_id,product_code,product_name,name,packaging,qty_per_carton,inner_box,outer_carton_length_cm,outer_carton_width_cm,outer_carton_height_cm,package_length_cm,package_width_cm,package_height_cm,volume_cbm,chargeable_unit_cn,gross_weight_kg,net_weight_kg,price,price_raw,priceValue,lower_price,higher_price,price/chargeable_unit,excel_row,priceRight,marketTag,tags,image,markdown,id,sku,href
EducationalToys,Electric Version Of Educational Magnetic Track Building Blocks 41PCS,290312,YS1705206,1705206,2425,Electric Version Of Educational Magnetic Track Building Blocks 41PCS,Electric Version Of Educational Magnetic Track Building Blocks 41PCS,Suitcase,10,0,54.0,34.0,40.5,33.0,7.5,26.0,0.074,2.62,19.6,18.7,USD $185.30,185.3,185.3,185.3,,70.725,1668,10,0,"1705206, 2425, Suitcase",EducationalToys/Electric Version Of Educational Magnetic Track Building Blocks 41PCS/290312/Electric Version Of Educational Magnetic Track Building Blocks 41PCS/image/Electric Version Of Educational Magnetic Track Building Blocks 41PCS.jpg,EducationalToys/Electric Version Of Educational Magnetic Track Building Blocks 41PCS/290312/Electric Version Of Educational Magnetic Track Building Blocks 41PCS/Electric Version Of Educational Magnetic Track Building Blocks 41PCS.md,1705206-2425-290312-1668,2425,
EducationalToys,Electric Version Of Educational Magnetic Track Building Blocks 28PCS,290312,YS1705205,1705205,2424,Electric Version Of Educational Magnetic Track Building Blocks 28PCS,Electric Version Of Educational Magnetic Track Building Blocks 28PCS,Suitcase,16,2,60.5,32.5,54.0,30.0,7.0,24.0,0.106,3.75,22.3,20.3,USD $124.30,124.3,124.3,124.3,,33.136,1667,16,2,"1705205, 2424, Suitcase",EducationalToys/Electric Version Of Educational Magnetic Track Building Blocks 28PCS/290312/Electric Version Of Educational Magnetic Track Building Blocks 28PCS/image/Electric Version Of Educational Magnetic Track Building Blocks 28PCS.jpg,EducationalToys/Electric Version Of Educational Magnetic Track Building Blocks 28PCS/290312/Electric Version Of Educational Magnetic Track Building Blocks 28PCS/Electric Version Of Educational Magnetic Track Building Blocks 28PCS.md,1705205-2424-290312-1667,2424,
EducationalToys,A Suction Board For Cutting Educational Toys,121405-121406,YS1709726,1709726,228A30,A Suction Board For Cutting Educational Toys,A Suction Board For Cutting Educational Toys,Suction Board,24,2,63.0,31.0,30.5,29.5,6.5,39.0,0.06,2.1,17.0,14.0,USD $53.90,53.9,53.9,53.9,,25.641,1715,24,2,"1709726, 228A30, Suction Board",EducationalToys/A Suction Board For Cutting Educational Toys/121405-121406/A Suction Board For Cutting Educational Toys/image/A Suction Board For Cutting Educational Toys.jpg,EducationalToys/A Suction Board For Cutting Educational Toys/121405-121406/A Suction Board For Cutting Educational Toys/A Suction Board For Cutting Educational Toys.md,1709726-228A30-121405-121406-1715,228A30,
EducationalToys,Electric Version Of Educational Magnetic Track Building Blocks 17PCS,290312,YS1705204,1705204,2423,Electric Version Of Educational Magnetic Track Building Blocks 17PCS,Electric Version Of Educational Magnetic Track Building Blocks 17PCS,Color Box,24,2,63.5,26.5,55.0,24.5,6.0,20.0,0.093,3.27,19.7,17.6,USD $74.20,74.2,74.2,74.2,,22.667,1666,24,2,"1705204, 2423, Color Box",EducationalToys/Electric Version Of Educational Magnetic Track Building Blocks 17PCS/290312/Electric Version Of Educational Magnetic Track Building Blocks 17PCS/image/Electric Version Of Educational Magnetic Track Building Blocks 17PCS.jpg,EducationalToys/Electric Version Of Educational Magnetic Track Building Blocks 17PCS/290312/Electric Version Of Educational Magnetic Track Building Blocks 17PCS/Electric Version Of Educational Magnetic Track Building Blocks 17PCS.md,1705204-2423-290312-1666,2423,
EducationalToys,Parc Des Princes Stadium,170529-170530,YS1215530,1215530,8828,"Parc Des Princes Stadium (paris saint-germain, educational early education building blocks for boys and girls building blocks toys birthday gift)","Parc Des Princes Stadium (paris saint-germain, educational early education building blocks for boys and girls building blocks toys birthday gift)",Color Box,18,0,73.0,34.0,82.0,38.0,5.5,28.0,0.204,7.18,28.0,26.0,USD $147.20,147.2,147.2,147.2,,20.494,542,18,0,"1215530, 8828, Color Box","EducationalToys/Parc Des Princes Stadium/170529-170530/Parc Des Princes Stadium (paris saint-germain, educational early education build/image/Parc Des Princes Stadium (paris saint-germain, educational early education build.jpg","EducationalToys/Parc Des Princes Stadium/170529-170530/Parc Des Princes Stadium (paris saint-germain, educational early education build/Parc Des Princes Stadium (paris saint-germain, educational early education build.md",1215530-8828-170529-170530-542,8828,
EducationalToys,Digital Morphing,210110,YS1466794,1466794,188-4E,Digital Morphing,Digital Morphing,Window Box,12,0,97.0,38.5,58.0,55.5,8.0,37.0,0.217,7.64,17.5,14.5,USD $131.30,131.3,131.3,131.3,,17.177,983,12,0,"1466794, 188-4E, Window Box",EducationalToys/Digital Morphing/210110/Digital Morphing/image/Digital Morphing.jpg,EducationalToys/Digital Morphing/210110/Digital Morphing/Digital Morphing.md,1466794-188-4E-210110-983,188-4E,
EducationalToys,Digital Morphing,210110,YS1466810,1466810,YB188-41,Digital Morphing,Digital Morphing,Display Box,24,0,110.5,45.0,66.5,32.0,57.0,7.0,0.331,11.67,0.0,0.0,USD $97.90,97.9,97.9,97.9,,8.387,986,24,0,"1466810, YB188-41, Display Box",EducationalToys/Digital Morphing/210110/Digital Morphing/image/Digital Morphing.jpg,EducationalToys/Digital Morphing/210110/Digital Morphing/Digital Morphing.md,1466810-YB188-41-210110-986,YB188-41,
EducationalToys,Digital Morphing,210110,YS1466786,1466786,188-37E,Digital Morphing,Digital Morphing,Window Box,28,0,90.0,52.0,81.5,49.0,6.0,36.5,0.381,13.46,29.3,25.0,USD $77.90,77.9,77.9,77.9,,5.782,976,28,0,"1466786, 188-37E, Window Box",EducationalToys/Digital Morphing/210110/Digital Morphing/image/Digital Morphing.jpg,EducationalToys/Digital Morphing/210110/Digital Morphing/Digital Morphing.md,1466786-188-37E-210110-976,188-37E,
EducationalToys,Digital Morphing,210110,YS1466784,1466784,188-36E,Digital Morphing,Digital Morphing,Window Box,42,0,88.5,48.5,71.5,34.5,6.5,29.0,0.307,10.83,0.0,0.0,USD $42.80,42.8,42.8,42.8,,3.945,974,42,0,"1466784, 188-36E, Window Box",EducationalToys/Digital Morphing/210110/Digital Morphing/image/Digital Morphing.jpg,EducationalToys/Digital Morphing/210110/Digital Morphing/Digital Morphing.md,1466784-188-36E-210110-974,188-36E,
EducationalToys,Digital Morphing,210110,YS1466785,1466785,188-36Y,Digital Morphing,Digital Morphing,Window Box,42,0,88.5,48.5,71.5,34.5,6.5,29.0,0.307,10.83,0.0,0.0,USD $42.80,42.8,42.8,42.8,,3.945,975,42,0,"1466785, 188-36Y, Window Box",EducationalToys/Digital Morphing/210110/Digital Morphing/image/Digital Morphing.jpg,EducationalToys/Digital Morphing/210110/Digital Morphing/Digital Morphing.md,1466785-188-36Y-210110-975,188-36Y,
