group_name,category,stall_number,company_code,company_code_id,product_code,product_name,name,packaging,qty_per_carton,inner_box,outer_carton_length_cm,outer_carton_width_cm,outer_carton_height_cm,package_length_cm,package_width_cm,package_height_cm,volume_cbm,chargeable_unit_cn,gross_weight_kg,net_weight_kg,price,price_raw,priceValue,lower_price,higher_price,price/chargeable_unit,excel_row,priceRight,marketTag,tags,image,markdown,id,sku,href
Outdoor&SportsToys,Music Dance Mat,280111,YS1712802,1712802,331A-1  (双灯版),Music Dance Mat,Music Dance Mat,Color Box,16,0,61.0,52.0,52.0,30.0,12.0,25.0,0.165,5.82,19.5,17.5,USD $170.10,170.1,170.1,170.1,,29.216,1783,16,0,"1712802, 331A-1  (双灯版), Color Box",Outdoor&SportsToys/Music Dance Mat/280111/Music Dance Mat/image/Music Dance Mat.jpg,Outdoor&SportsToys/Music Dance Mat/280111/Music Dance Mat/Music Dance Mat.md,1712802-331A-1  (双灯版)-280111-1783,331A-1  (双灯版),
Outdoor&SportsToys,Music Dance Mat,280111,YS1712803,1712803,331A-2  (单灯版),Music Dance Mat,Music Dance Mat,Color Box,16,0,61.0,52.0,52.0,30.0,12.0,25.0,0.165,5.82,14.5,12.5,USD $119.90,119.9,119.9,119.9,,20.601,1784,16,0,"1712803, 331A-2  (单灯版), Color Box",Outdoor&SportsToys/Music Dance Mat/280111/Music Dance Mat/image/Music Dance Mat.jpg,Outdoor&SportsToys/Music Dance Mat/280111/Music Dance Mat/Music Dance Mat.md,1712803-331A-2  (单灯版)-280111-1784,331A-2  (单灯版),
Outdoor&SportsToys,Camp Nou,170529-170530,YS1215531,1215531,8830,Camp Nou (cpc),Camp Nou (cpc),Color Box,24,0,71.0,39.0,59.0,38.0,5.5,28.0,0.163,5.76,28.0,26.0,USD $147.20,147.2,147.2,147.2,,25.547,543,24,0,"1215531, 8830, Color Box",Outdoor&SportsToys/Camp Nou/170529-170530/Camp Nou (cpc)/image/Camp Nou (cpc).jpg,Outdoor&SportsToys/Camp Nou/170529-170530/Camp Nou (cpc)/Camp Nou (cpc).md,1215531-8830-170529-170530-543,8830,
Outdoor&SportsToys,Real Madrid Football Stadium,170529-170530,YS1215532,1215532,8831,Real Madrid Football Stadium (cpc),Real Madrid Football Stadium (cpc),Color Box,24,0,71.0,39.0,59.0,38.0,5.5,28.0,0.163,5.76,28.0,26.0,USD $147.20,147.2,147.2,147.2,,25.547,544,24,0,"1215532, 8831, Color Box",Outdoor&SportsToys/Real Madrid Football Stadium/170529-170530/Real Madrid Football Stadium (cpc)/image/Real Madrid Football Stadium (cpc).jpg,Outdoor&SportsToys/Real Madrid Football Stadium/170529-170530/Real Madrid Football Stadium (cpc)/Real Madrid Football Stadium (cpc).md,1215532-8831-170529-170530-544,8831,
Outdoor&SportsToys,Sanrio Kuromi Yo-Yo,290103,YS1699026,1699026,355-16,Sanrio Kuromi Yo-Yo (24pcs whole box price),Sanrio Kuromi Yo-Yo (24pcs whole box price),Display Box,32,0,86.0,31.0,55.0,28.3,20.0,6.0,0.147,5.17,31.0,29.0,USD $91.60,91.6,91.6,91.6,,17.71,1566,32,0,"1699026, 355-16, Display Box",Outdoor&SportsToys/Sanrio Kuromi Yo-Yo/290103/Sanrio Kuromi Yo-Yo (24pcs whole box price)/image/Sanrio Kuromi Yo-Yo (24pcs whole box price).jpg,Outdoor&SportsToys/Sanrio Kuromi Yo-Yo/290103/Sanrio Kuromi Yo-Yo (24pcs whole box price)/Sanrio Kuromi Yo-Yo (24pcs whole box price).md,1699026-355-16-290103-1566,355-16,
Outdoor&SportsToys,Sanrio Kuromi Yo-Yo,260112-260113,YS1259477,1259477,355-16,Sanrio Kuromi Yo-Yo (24pcs whole box price),Sanrio Kuromi Yo-Yo (24pcs whole box price),Display Box,32,0,86.0,31.0,55.0,28.3,20.0,6.0,0.147,5.17,31.0,29.0,USD $91.60,91.6,91.6,91.6,,17.71,600,32,0,"1259477, 355-16, Display Box",Outdoor&SportsToys/Sanrio Kuromi Yo-Yo/260112-260113/Sanrio Kuromi Yo-Yo (24pcs whole box price)/image/Sanrio Kuromi Yo-Yo (24pcs whole box price).jpg,Outdoor&SportsToys/Sanrio Kuromi Yo-Yo/260112-260113/Sanrio Kuromi Yo-Yo (24pcs whole box price)/Sanrio Kuromi Yo-Yo (24pcs whole box price).md,1259477-355-16-260112-260113-600,355-16,
Outdoor&SportsToys,Deformed Globe,210709B,YS1735944,1735944,HD167,Deformed Globe,Deformed Globe,Display Box,24,2,90.0,43.0,46.0,14.9,13.5,20.8,0.178,6.28,10.6,9.1,USD $85.10,85.1,85.1,85.1,,13.538,2224,24,2,"1735944, HD167, Display Box",Outdoor&SportsToys/Deformed Globe/210709B/Deformed Globe/image/Deformed Globe.jpg,Outdoor&SportsToys/Deformed Globe/210709B/Deformed Globe/Deformed Globe.md,1735944-HD167-210709B-2224,HD167,
Outdoor&SportsToys,Mechanically Deformed Earth,210709B,YS1735943,1735943,HD166,Mechanically Deformed Earth,Mechanically Deformed Earth,Display Box,24,2,90.0,43.0,46.0,14.9,13.5,20.8,0.178,6.28,10.6,9.1,USD $85.10,85.1,85.1,85.1,,13.538,2223,24,2,"1735943, HD166, Display Box",Outdoor&SportsToys/Mechanically Deformed Earth/210709B/Mechanically Deformed Earth/image/Mechanically Deformed Earth.jpg,Outdoor&SportsToys/Mechanically Deformed Earth/210709B/Mechanically Deformed Earth/Mechanically Deformed Earth.md,1735943-HD166-210709B-2223,HD166,
Outdoor&SportsToys,6-Inch Emoji Baby Casual Suit,920104,YS1743150,1743150,9039A,6-Inch Emoji Baby Casual Suit (8pcs whole box price),6-Inch Emoji Baby Casual Suit (8pcs whole box price),Display Box,24,2,70.0,47.0,93.0,43.0,5.5,42.5,0.306,10.8,24.0,22.0,USD $139.60,139.6,139.6,139.6,,12.919,2406,24,2,"1743150, 9039A, Display Box",Outdoor&SportsToys/6-Inch Emoji Baby Casual Suit/920104/6-Inch Emoji Baby Casual Suit (8pcs whole box price)/image/6-Inch Emoji Baby Casual Suit (8pcs whole box price).jpg,Outdoor&SportsToys/6-Inch Emoji Baby Casual Suit/920104/6-Inch Emoji Baby Casual Suit (8pcs whole box price)/6-Inch Emoji Baby Casual Suit (8pcs whole box price).md,1743150-9039A-920104-2406,9039A,
Outdoor&SportsToys,6-Inch Casual Ye Luoli With Vinyl Puppy,920104,YS1743151,1743151,9039B,6-Inch Casual Ye Luoli With Vinyl Puppy (8pcs whole box price),6-Inch Casual Ye Luoli With Vinyl Puppy (8pcs whole box price),Display Box,24,2,70.0,47.0,93.0,43.0,5.5,42.5,0.306,10.8,21.0,19.0,USD $122.10,122.1,122.1,122.1,,11.304,2407,24,2,"1743151, 9039B, Display Box",Outdoor&SportsToys/6-Inch Casual Ye Luoli With Vinyl Puppy/920104/6-Inch Casual Ye Luoli With Vinyl Puppy (8pcs whole box price)/image/6-Inch Casual Ye Luoli With Vinyl Puppy (8pcs whole box price).jpg,Outdoor&SportsToys/6-Inch Casual Ye Luoli With Vinyl Puppy/920104/6-Inch Casual Ye Luoli With Vinyl Puppy (8pcs whole box price)/6-Inch Casual Ye Luoli With Vinyl Puppy (8pcs whole box price).md,1743151-9039B-920104-2407,9039B,
